name1,name2,name3,name4
P1706_C4_2_050_4_C2,P1706_153,CCE_P1706_224,CCE_P1706_224_MSMS
,P1706_154,CCE_P1706_225,CCE_P1706_225_MSMS
,P1706_154,CCE_P1706_226,CCE_P1706_226_MSMS
P1706_C4_2_020_2_C,P1706_155,CCE_P1706_227,CCE_P1706_227_MSMS
P1706_C4_2_020_2_C2,P1706_155,CCE_P1706_228,CCE_P1706_228_MSMS
P1706_C4_2_002_1_C,P1706_156,CCE_P1706_229,CCE_P1706_229_MSMS
P1706_C4_2_002_1_C2,P1706_156,CCE_P1706_230,CCE_P1706_230_MSMS
P1706_B1_1_045_3_C,P1706_157,CCE_P1706_231,CCE_P1706_231_MSMS
P1706_B1_1_045_3_C2,P1706_157,CCE_P1706_232,CCE_P1706_232_MSMS
P1706_B1_1_035_2_C,P1706_158,CCE_P1706_233,CCE_P1706_233_MSMS
P1706_B1_1_035_2_C2,P1706_158,CCE_P1706_234,CCE_P1706_234_MSMS
P1706_B1_1_010_1_C,P1706_159,CCE_P1706_235,CCE_P1706_235_MSMS
P1706_B1_1_010_1_C2,P1706_159,CCE_P1706_236,CCE_P1706_236_MSMS
P1706_B2_2_050_3_C,P1706_160,CCE_P1706_237,CCE_P1706_237_MSMS
P1706_B2_2_050_3_C2,P1706_160,CCE_P1706_238,CCE_P1706_238_MSMS
P1706_B2_2_040_2_C,P1706_161,CCE_P1706_239,CCE_P1706_239_MSMS
P1706_B2_2_040_2_C2,P1706_161,CCE_P1706_240,CCE_P1706_240_MSMS
P1706_B2_2_012_1_C,P1706_162,CCE_P1706_241,CCE_P1706_241_MSMS
P1706_B2_2_012_1_C2,P1706_162,CCE_P1706_242,CCE_P1706_242_MSMS
P1706_B3_3_050_3_C,P1706_163,CCE_P1706_243,CCE_P1706_243_MSMS
P1706_B3_3_050_3_C2,P1706_163,CCE_P1706_244,CCE_P1706_244_MSMS
P1706_B3_3_040_2_C,P1706_164,CCE_P1706_245,CCE_P1706_245_MSMS
P1706_B3_3_040_2_C2,P1706_164,CCE_P1706_246,CCE_P1706_246_MSMS
P1706_B3_3_012_1_C,P1706_165,CCE_P1706_247,CCE_P1706_247_MSMS
P1706_B3_3_012_1_C2,P1706_165,CCE_P1706_248,CCE_P1706_248_MSMS
P1706_B4_4_062_3_C,P1706_166,CCE_P1706_249,CCE_P1706_249_MSMS
P1706_B4_4_062_3_C2,P1706_166,CCE_P1706_250,CCE_P1706_250_MSMS
P1706_B4_4_054_2_C,P1706_167,CCE_P1706_251,CCE_P1706_251_MSMS
P1706_B4_4_054_2_C2,P1706_167,CCE_P1706_252,CCE_P1706_252_MSMS
P1706_B4_4_010_1_C,P1706_168,CCE_P1706_253,CCE_P1706_253_MSMS
P1706_B4_4_010_1_C2,P1706_168,CCE_P1706_254,CCE_P1706_254_MSMS
P1706_B6_6_051_3_C,P1706_169,CCE_P1706_261,CCE_P1706_261_MSMS
P1706_B6_6_051_3_C2,P1706_169,CCE_P1706_262,CCE_P1706_262_MSMS
P1706_B6_6_040_2_C,P1706_170,CCE_P1706_263,CCE_P1706_263_MSMS
P1706_B6_6_040_2_C2,P1706_170,CCE_P1706_264,CCE_P1706_264_MSMS
P1706_B7_7_047_3_C,P1706_171,CCE_P1706_267,CCE_P1706_267_MSMS
P1706_B7_7_047_3_C2,P1706_171,CCE_P1706_268,CCE_P1706_268_MSMS
P1706_B7_7_035_2_C,P1706_172,CCE_P1706_269,CCE_P1706_269_MSMS
P1706_B7_7_035_2_C2,P1706_172,CCE_P1706_270,CCE_P1706_270_MSMS
P1706_B7_7_010_1_C,P1706_173,CCE_P1706_271,CCE_P1706_271_MSMS
P1706_B7_7_010_1_C2,P1706_173,CCE_P1706_272,CCE_P1706_272_MSMS
P1706_B8_8_051_3_C,P1706_174,CCE_P1706_273,CCE_P1706_273_MSMS
P1706_B8_8_051_3_C2,P1706_174,CCE_P1706_274,CCE_P1706_274_MSMS
P1706_B8_8_040_2_C,P1706_175,CCE_P1706_275,CCE_P1706_275_MSMS
P1706_B8_8_040_2_C2,P1706_175,CCE_P1706_276,CCE_P1706_276_MSMS
P1706_B8_8_015_1_C,P1706_176,CCE_P1706_277,CCE_P1706_277_MSMS
P1706_B8_8_015_1_C2,P1706_176,CCE_P1706_278,CCE_P1706_278_MSMS
P1706_B9_9_051_3_C,P1706_177,CCE_P1706_279,CCE_P1706_279_MSMS
P1706_B9_9_051_3_C2,P1706_177,CCE_P1706_280,CCE_P1706_280_MSMS
P1706_B9_9_040_2_C,P1706_178,CCE_P1706_281,CCE_P1706_281_MSMS
P1706_B9_9_040_2_C2,P1706_178,CCE_P1706_282,CCE_P1706_282_MSMS
P1706_B9_9_015_1_C,P1706_179,CCE_P1706_283,CCE_P1706_283_MSMS
P1706_B9_9_015_1_C2,P1706_179,CCE_P1706_284,CCE_P1706_284_MSMS
,,CCE_P1706_285_Brandon_DOM,Brandon_Deep_DOM_MSMS
,,CCE_P1706_286_STKL_0_blank,CCE_P1706_STKL_0_blank_a
,,CCE_P1706_286_STKL_0_blank,CCE_P1706_STKL_0_blank_b
,,CCE_P1706_287_STKL_1,CCE_P1706_STKL_1_a
,,CCE_P1706_287_STKL_1,CCE_P1706_STKL_1_b
,,CCE_P1706_288_STKL_2,CCE_P1706_STKL_2_a
,,CCE_P1706_288_STKL_2,CCE_P1706_STKL_2_b
,,CCE_P1706_289_STKL_3,CCE_P1706_STKL_3_a
,,CCE_P1706_289_STKL_3,CCE_P1706_STKL_3_b
,,CCE_P1706_290_STKL_4,CCE_P1706_STKL_4_a
,,CCE_P1706_290_STKL_4,CCE_P1706_STKL_4_b
,,CCE_P1706_291_STKL_5,CCE_P1706_STKL_5_a
,,CCE_P1706_291_STKL_5,CCE_P1706_STKL_5_b
,,CCE_P1706_292_STKL_6,CCE_P1706_STKL_6_a
,,CCE_P1706_292_STKL_6,CCE_P1706_STKL_6_b
,,CCE_P1706_293_STKL_7,CCE_P1706_STKL_7_a
,,CCE_P1706_293_STKL_7,CCE_P1706_STKL_7_b
,,CCE_P1706_294_STKL_8,CCE_P1706_STKL_8_a
,,CCE_P1706_294_STKL_8,CCE_P1706_STKL_8_b
