rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1755	C14H21N5O5	[M + H]+	C14H21N5O5	9.933489555688706	9.933489555688706	0.0	2	1.0	2.576800678346109	2.576800678346109	0.6052516923491351		340.16175	251.64000034332275	1580_CCE1706_MZmine3_SIRIUS_1_9671
1756	C28H50O7	[M + Na]+	C28H50O7	9.932322231523631	3.4410066392555647	6.491315592268067	1	0.0	-0.7186037073622377	0.7186037073622377	-0.8192104848700388		521.34445	649.7289848327637	5906_CCE1706_MZmine3_SIRIUS_1_39112
1757	C16H26O7	[M + H]+	C16H26O7	9.930569871358689	9.930569871358689	0.0	2	1.0	0.8318775502609558	0.8318775502609558	-1.0534585052398453		331.17478	515.0580024719238	4021_CCE1706_MZmine3_SIRIUS_1_31052
1758	C25H38O10	[M + H]+	C25H38O10	9.928312435460292	6.769834286079943	3.1584781493803487	3	1.0	0.7058367534744804	0.7058367534744804	-36075.87658805645		499.25334	446.7344444990158	3391_CCE1706_MZmine3_SIRIUS_1_26928
1759	C9H6BrNO2	[M + H]+	C9H6BrNO2	9.915351083820727	0.6108375720215253	9.304513511799202	2	1.0	-0.4052951131421071	0.4052951131421071	-0.7148451575691177		239.96530	538.4440040588379	4282_CCE1706_MZmine3_SIRIUS_1_32087
1760	C28H53N7O8	[M + Na]+	C28H53N7O8	9.907748688140664	3.790020862998345	6.117727825142319	2	1.0	0.7407568361698718	0.7407568361698718	0.8378953742196128		638.38532	624.236011505127	5463_CCE1706_MZmine3_SIRIUS_1_37511
1761	C11H24O5	[M + H3N + H]+	C11H27NO5	9.904586137885113	6.806715548754416	3.0978705891306975	2	1.0	0.42675468117755777	0.42675468117755777	-1.172425909584129		254.19590	243.90987038612366	1487_CCE1706_MZmine3_SIRIUS_1_8888
1762	C18H34O5	[M + Na]+	C18H34O5	9.900343925492171	3.4898090840859437	6.4105348414062275	1	0.0	-0.12707900207040476	0.12707900207040476	0.017984313432090844		353.22985	620.1547186248215	5525_CCE1706_MZmine3_SIRIUS_1_37715
1763	C20H20N4O3	[M + H]+	C20H20N4O3	9.89455804845248	9.89455804845248	0.0	4	1.0	2.00993150594	2.00993150594	-49324.58268977791		365.16002	326.1254859354457	2272_CCE1706_MZmine3_SIRIUS_1_16572
1764	C22H40O6	[M + Na]+	C22H40O6	9.890899745618382	3.4791066376115696	6.411793108006813	1	0.0	-0.2591718662216066	0.2591718662216066	-0.036278631258729134		423.27169	664.2550277709961	6095_CCE1706_MZmine3_SIRIUS_1_39672
1765	C17H18N2O4S	[M + H]+	C17H18N2O4S	9.890051787266646	6.316165613542308	3.5738861737243384	4	1.0	0.24383500276034153	0.24383500276034153	0.3233261464876732		347.10612	348.9070129394531	2494_CCE1706_MZmine3_SIRIUS_1_18814
1766	C18H27ClN4O4	[M + Na]+	C18H27ClN4O4	9.887513692729902	9.887513692729902	0.0	2	0.9146341463414634	-1.776801408480997	1.776801408480997	-0.36885346998228746		421.16115	326.1938214395195	2281_CCE1706_MZmine3_SIRIUS_1_16688
1767	C10H8O25	[M + H]+	C10H8O25	9.887193739576537	9.887193739576537	0.0	3	0.9945528824330458	0.3395028984851126	0.3395028984851126	-7.768355920329784		528.93863	452.0457152376275	3450_CCE1706_MZmine3_SIRIUS_1_27387
1768	C17H26O7	[M + H]+	C17H26O7	9.880161497510976	8.771189689533177	1.1089718079777997	3	1.0	0.8742860168309926	0.8742860168309926	-52481.8869281604		343.17521	467.31812596321106	3552_CCE1706_MZmine3_SIRIUS_1_28319
